STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/18/2018,0.33,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/19/2018,0.01,,,95
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/20/2018,0,,,90
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/21/2018,0.08,,,94
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/22/2018,0,,,86
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/23/2018,0,,,90
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/24/2018,0,,,94
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/25/2018,0,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/26/2018,0,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/27/2018,0,,,93
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/28/2018,0.31,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/29/2018,0,,,90
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/30/2018,0,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,7/31/2018,0,,,94
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/1/2018,0,,,91
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/2/2018,0.07,,,84
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/3/2018,0,,,87
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/4/2018,0.04,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/5/2018,0,,,85
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/6/2018,0,,,87
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/7/2018,0,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/8/2018,0,,,92
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/9/2018,0,,,93
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/10/2018,0,,,95
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/11/2018,0,,,94
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/12/2018,0,,,94
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/13/2018,0,,,91
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/14/2018,0,,,89
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/15/2018,0,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/16/2018,0,,,88
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/17/2018,0.29,,,90
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/18/2018,0.02,,,81
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/19/2018,0,,,85
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/20/2018,0.07,,,87
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/21/2018,0.17,,,84
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/22/2018,0.68,,,78
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/23/2018,0,,,82
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/24/2018,0,,,85
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/25/2018,0,,,87
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/26/2018,0,,,86
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/27/2018,0,,,76
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/28/2018,0,,,74
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,8/29/2018,0,,,84
